text;is_formula
я вас слушаю;
давай так;
как ты хочешь;
хватит уже;
не бойся;
не;
этого достаточно;
не знаю;
в этом все дело;
да ничего;
и хватит спорить;
увидишь;
в чем дело;
ты– то как;
ого;
черт;
о чем и речь;
врешь;
наверное;
не надо;
слава богу;
как;
что ж;
здрасте;
черт подери;
здорово;
забавно;
ловко;
ну ты чего;
что такое;
о, господи;
и все;
неправда;
нда;
ну вас на фиг;
понятия не имею;
не смеши меня;
вот значит как;
к чему ты ведешь;
погоди;
именно;
так вот;
как хочешь;
да сколько можно уже;
ну ладно уж;
ну да ладно;
за что же;
непостижимо;
еще чего;
разумеется;
враки;
ты сошел с ума;
вы полагаете;
и все же;
нет-нет;
ну спасибо;
это что;
ладно;
вот погоди;
а, пустяки;
и не надо;
вот тебе и раз;
о чем ты;
ясно;
кажется;
не бойтесь;
да не за что;
упаси бог;
вот и;
так точно;
не надо спешить;
вот видите;
чего ты;
что это;
и верно;
да ладно;
как знаешь;
прошу прощения;
шел бы ты отсюда;
еще раз поздравляю;
хватит валять дурака;
подумать только;
да-да;
эй;
ясненько;
ну что ж;
хватит;
не знаю пока;
вполне понятно;
да пошла ты;
да что ты;
да нет;
так и что;
прости;
да ну тебя;
ей-богу;
наверно;
ну;
годится;
давайте так;
вранье;
отлично;
и довольно;
да-а;
вот и прекрасно;
как сказать;
как вы хотите;
за что;
ну скажи;
оставьте меня в покое;
как же так;
но все-таки;
хорошо;
отвечай;
большое спасибо;
и значит;
та-а-ак;
валяйте;
спасибо за внимание;
слышите;
что еще;
ну хорошо;
увидимся;
видишь ли;
ну так что;
ну понятно;
присаживайся;
как интересно;
ну да;
как хорошо;
господи;
а то;
как хотите;
что здесь происходит;
любопытно;
а теперь;
мне пора;
так;
ну что;
точно;
и не говори;
в чем же дело;
не волнуйтесь;
бред какой-то;
почему нет;
вот и прелесть;
черт возьми;
валяй;
ага;
и расчудесно;
а вот и нет;
к чертям;
вот и всё;
ваша правда;
как еще;
в самом деле;
ну конечно;
ну-у;
что это значит;
в точку;
итак;
а что тут такого;
дело в том;
эй ты;
увидите;
вовсе нет;
а что;
до свидания;
виноват;
иди ты в жопу;
ты что;
вообще-то да;
да, дела;
тихо;
подожди;
а вы как думали;
это еще что такое;
извини;
не видно что ли;
не дерзи;
чепуха какая;
извините меня;
какая чепуха;
вот тебе и на;
поздравляю;
легко сказать;
сами посудите;
привет;
извините;
не может быть;
здравствуй;
добрый день;
слышишь;
как вам сказать;
вот тебе и «ну»;
глупости;
чего уж тут;
как видишь;
что тут такого;
не отпирайтесь;
еще бы;
не изумляйся;
надо же;
зачем тебе это;
а;
ну надо же;
и что;
а ну-ка стоп;
взгляни;
вот как;
в том-то все и дело;
и вот;
да как вы смеете;
нет - конец;
подумаешь;
смотри;
а почему бы и нет;
как странно;
благодарю вас;
премного вам благодарен;
вот видишь;
продолжай;
я не знаю;
не скучайте;
и пусть;
а ну;
как вам не совестно;
прекрати;
ну так;
жаль;
а вот;
вот что;
так нельзя;
как же;
не горюй;
авось;
ой;
нет;
имей в виду;
ну ладно;
а ну-ка;
здрасьте;
все ясно;
виноват, каюсь;
и все-таки;
спасибо;
ах вот что;
сам знаешь;
не ври;
будь здоров;
да ладно тебе;
прошу;
и не говорите;
какого дьявола;
в смысле;
ну не;
иди-ка сюда;
да уж;
такие дела;
как это понимать;
удивительно;
не ругайтесь;
минутку внимания;
погодите;
нисколько;
все понятно;
войдите;
вот и все;
да ты что;
вон отсюда;
что вы говорите;
вали;
стоп;
и что же;
понятно;
ерунда;
зачем;
не валяй дурака;
если так;
че;
как видите;
невероятно;
прекрасно;
совершенно верно;
добрый вечер;
в том-то и дело;
салют;
а я тут причем;
так оно и есть;
и всё;
в яблочко;
может быть;
короче;
все вздор;
здравствуйте;
я же говорил;
черт побери;
неужели;
все;
договорились;
ну уж нет;
а чего же тянуть;
жуть;
вот-вот;
что поделаешь;
ну куда они уходят;
и сам понимаешь;
интересно;
да пошел ты;
спокойной ночи;
благодарю;
ах вот как;
простите;
конечно;
какого черта;
видишь;
познакомься;
вот именно;
не перебивай;
зачем это;
почему бы и нет;
ты что – серьезно;
не говори так;
действительно;
прощайте;
ничего себе;
напрасно;
ох;
к сожалению;
не важно;
ну знаете ли;
не ваше дело;
чушь собачья;
видите;
а все же;
а что поделаешь;
давай;
ч-черт;
уверяю вас;
вон как;
довольно;
что вы;
всего доброго;
видите ли;
ну-ну;
ах, вот как;
кстати;
какой разговор;
успокойся;
серьезно;
да хрен знает;
да иди ты;
увы;
ура;
а ты как считаешь;
ах да;
правильно;
да нет, в самый раз;
не в этом дело;
уверяю тебя;
тьфу;
я вижу;
слушаю;
пожалуйста;
боже мой;
ну что же;
и на том спасибо;
ничего;
прошу вас;
заблуждаетесь;
сейчас;
нашел время;
да;
погляди-ка;
а ну и вот;
ах, да;
счастливо;
какая глупость;
наконец-то;
всё;
а то ж;
я же говорю;
вот и вся история;
беда;
вот оно что;
такое вот;
да не извиняйся;
как это мило с ее стороны;0
а она что;0
на самом деле;0
если можно так выразиться;0
по ночам со своими шариками? дук, дук, дук;0
там что-то мне подыскала;0
это бывает;0
что случилось;0
насколько я понимаю;0
прямо;0
будьте добренькие;0
вот я, например;0
в какой-то мере;0
не волнуйтесь, пожалуйста;0
ну и вот;0
вот она я;0
показалось;0
крышка;0
ну я же;0
как это хорошо с вашей стороны;0
просто;0
не будем все-таки забывать;0
ну, вот;0
в такой же;0
ну, правда;0
что теперь;0
вот увидите;0
сколько сейчас;0
без обид;0
да какой;0
а мы так;0
ну скажу я ему сейчас два добрых слова;0
послушай;0
и я не знаю;0
а у вас;0
так и сделаю;0
ха-ха;0
ну то есть;0
перестаньте;0
провал так провал;0
ты слышишь;0
и имей в виду;0
ты видишь;0
пока нету;0
вот скажи;0
чтобы я когда-нибудь с тобой связался;0
тоже там получал;0
если бы вы знали;0
порхаешь тут;0
я просто уверен в этом;0
ну ты ж мне;0
не оставляй меня;0
пусть живут пока;0
а кто виноват;0
ну, вот вы и дома;0
то всё;0
как я не знаю что;0
не скажу;0
всего-навсего;0
о;0
а то ж она мне;0
к чему;0
не правда ли;0
и как бы;0
а кого же;0
вот смех-то;0
прямо сейчас брошу;0
все-таки;0
да-да, клянусь вам;0
вот я какой;0
смотри не ударь в грязь лицом;0
вот это успех;0
ни в какую;0
не считаю;0
все такое;0
у меня все прекрасно;0
может быть, вы знаете;0
кто;0
им все равно;0
повторяю;0
а тут меня;0
ну ты;0
нет, конечно, я могу;0
нам уже совсем пора;0
тупой что-ли;0
что так получается;0
не так ли;0
в конце концов;0
как не знаю что;0
надо с лазерами брать;0
неплохо;0
извини, пожалуйста;0
балаган;0
ну вот смотри;0
прошу не перебивать;0
и понимаешь;0
смотрите же;0
ну, если так;0
и не грустите;0
говорят;0
ну, не знаю;0
ну вот видишь;0
прям видно}, что она гордится своими когтями. это ж дикость, как зубы золотые, как… {{тумба-юмба;0
а жаль;0
вы только представьте;0
не скажу ни за что;0
вот так… уже лучше;0
мне тоже;0
как это;0
ну как можно;0
я еще в набережные челны закинул;0
ты что, вообще уже;0
доигрались;0
скоро узнаешь;0
во-от что;0
не находите;0
что это у нас тут такое;0
ну что ж, пожалуй;0
как вы понимаете;0
никогда в жизни;0
брось заговаривать зубы;0
ну и я;0
просто]} прошу тебя сходить в магазин. {{сейчас уже;0
еще мне кажется;0
что ты еще задумал;0
а вот этого я совершенно не знаю;0
и поймите наконец;0
к бесу остальное;0
ты считаешь;0
посмотрим;0
такой;0
думаешь;0
оригинально;0
во-первых;0
поздравляю вас;0
сейчас же замолчите;0
сейчас, вася, сейчас;0
снова ложь;0
и все зря будет;0
видали;0
я хотела вас спросить;0
какова;0
раз пятнадцать;0
и напрасно;0
за июль получили уже;0
ты что, недоволен;0
пошли;0
нечего сказать;0
хорошо сказал;0
твою мать;0
даже не понимаю;0
я доску, он полы;0
идем-идем;0
с чего бы это;0
то есть я не святой;0
парился;0
я все скажу;0
я знаю, милый;0
пойми;0
очень рад;0
ну, я побежала;0
не знаю, молодой человек, не знаю;0
вообще лучше;0
ты хотя раз думал;0
я предпочитаю в это не верить;0
я тоже так думаю;0
и тут я понимаю;0
а знаете;0
пусть;0
знаешь что;0
постфактум, так сказать;0
вот так роль! клад;0
ну понятно все;0
небось;0
давно его не видели;0
милые вы мои;0
попробуй;0
или как там тебя;0
говори;0
бывает;0
вы еще такой молодой;0
да я и не хотел на самом деле;0
слушай, а кто это такой;0
ну вот что;0
ты не то, что там;0
ну, так что;0
вы думаете;0
какая вы все-таки прелесть;0
опять;0
так жизнь сложилась;0
я никуда не гожусь;0
полез;0
сожалею, но ничем не могу тебе помочь;0
ну, как дела;0
так {{вот;0
ну чего тебе;0
прямо совсем не хотел;0
рада с вами познакомиться;0
что ты там с телефоном возишься;0
ну зачем ты так сразу;0
стойте;0
плохо его дело;0
за твое здоровье;0
вот;0
каким образом;0
я просто ненавижу;0
держи;0
надо подумать;0
ну предположим;0
ну не смешно;0
не подумай;0
постой;0
еще как возьмем да как вам понравимся;0
что ты, что ты;0
ну идем;0
я же не не угол обоссаный;0
ну ладно тебе;0
опомнись;0
еще одна возможность провалиться;0
тебе вон нормально все;0
женщине вредно много думать;0
я страшно рад;0
полюбуйтесь;0
наконец;0
я попробую;0
всё кладут и кладут;0
не надо восторгов;0
даю тебе слово;0
боюсь;0
там все;0
помнится;0
знаете что;0
ах, дуэль;0
но подумай;0
совершенно;0
а что ты сразу;0
вот ты мудак;0
честно сказать;0
ведь вместе живем;0
он просто прелесть;0
и не печальтесь;0
это что, закон такой, да;0
еще с;0
куда ты идешь;0
что-нибудь случилось;0
ну, мне как бы;0
а тебе не кажется;0
ну ты даешь;0
я тут подумал;0
могём;0
будем надеяться;0
ну какой;0
и потом;0
превосходно сказано;0
я ухожу;0
куда ей деваться;0
где я;0
так и надо;0
никогда;0
поздно;0
а мне вот по-другому все помнится;0
то есть как;0
я так и думала;0
что с тобой;0
так вот –дук, дук, дук, дук, дук, дук;0
я сказала;0
заправиться надо;0
слушай, кстати;0
поняла;0
я звонил в калугу;0
и все-таки - почему;0
будь он проклят;0
а почему;0
помнишь;0
ну так что насчет;0
сколько там у нас;0
отстань;0
это интересно;0
нет, вы меня послушайте;0
красота;0
твоя песенка спета;0
а ты;0
посмотри на себя;0
конец;0
неслыханно;0
ну и черт с тобой;0
тут;0
как весело;0
что ты врешь;0
мама дорогая;0
кто тебе сказал;0
жаль только;0
как-никак;0
тыкаешь мне все время;0
ну жрите теперь, жрите;0
более того;0
но как он сюда попал;0
а не хочешь ли чайку;0
нужен этот…, как его;0
но вы такой молодой;0
пустяки;0
дело в том, что;0
кто вы такая;0
жуков мы всегда успеем;0
и, значит;0
до хера;0
не надо меня убеждать;0
чудесно;0
а ты знаешь;0
ну я не знаю, как сказать;0
ну, как поживаешь;0
как это мы;0
что тебя гложет;0
фигак;0
разве это главное;0
а вот за это вы мне ответите;0
вот несчастье-то;0
так тебе и надо;0
провал;0
знаешь;0
я бы с удовольствием;0
все в порядке;0
с телефоном возишься;0
может уже хватит;0
с чего ты решил, что;0
нормально с тобой;0
что ты, взбесился;0
скажешь;0
есть немного;0
поверь;0
и транспортники тоже;0
позволите;0
хотелось бы все же узнать;0
послушайте;0
а ну-ка вон отсюда;0
это не важно;0
что здесь такого;0
возьми вот;0
тогда, еще;0
я слушаю тебя;0
ты прав;0
что «да»;0
сверху вон;0
ого…добрый вечер;0
там на три часа у них;0
а куда же деться от фактов;0
ну и пусть;0
ты хороший что ли;0
мне жаль тебя;0
ну это бред;0
ну если честно;0
что ты тут стоишь как вкопанный;0
умоляю;0
слушай;0
обойдемся без междометий, восклицаний и прочих изъявлений чувств;0
тебе же сказали;0
ну, смотрите;0
ну ты офонарел что ли;0
но я тебе сразу скажу;0
счастлив с вами познакомиться;0
ну тот самый;0
потому;0
дожили;0
правда там;0
что там дальше;0
что;0
давайте сделаем так;0
тебе так не кажется;0
ну, может быть;0
словом;0
сраный однодневка;0
но почему;0
ну уж безумно;0
кто, как не я;0
ну, знаете;0
ну, то есть бывает;0
а ты сам-то кто такой;0
ведь правда;0
необыкновенно;0
наверняка;0
а я это;0
отчего;0
внимание;0
представь себе;0
в твои годы;0
разве;0
а как я сюда попал;0
ну, ну;0
ну мы того;0
потому что;0
ну и жизнь;0
вижу;0
помолчите;0
что ж я мог;0
что за чертовщина;0
но будем верить;0
сюда, сюда, сюда и сюда;0
чудо;0
ну, а ты почему молчишь;0
ну знаете, вы;0
чем занимаешься;0
вечно одно и то же;0
ну и что;0
тебе еще не понять этого;0
а как;0
разве их поймешь;0
на всякий случай;0
боги;0
четко;0
уже с них сыпется;0
ну как же;0
ну типа того;0
вот где ты;0
я все сам объясню;0
нет, погодите;0
это я не о вас, это я вообще;0
не думаю;0
меня это глодало;0
ну, знаете ли;0
так и не скажешь, что;0
признаться уже;0
тебе что, лень что ли;0
вроде бы;0
что вы сказали;0
эй, что все это значит;0
бедная;0
надеюсь;0
не выходи из берегов;0
думала;0
убьемся когда-нибудь;0
совсем отупел;0
во-вторых;0
да хоть;0
извини, если не вовремя;0
вполне здравая мысль;0
нет, уж тут ничего не поделаешь;0
я просто в полном отчаянии;0
то есть я к чему;0
в итоге оказался;0
ну ничего там;0
не придавай этому особого значения;0
ничего особенного;0
честное слово;0
что я ей говорил;0
разрешите мне откланяться;0
хороший вечер;0
и свободен;0
я вот;0
прямо там;0
тише;0
но уверяю вас;0
там;0
ну, то есть;0
ну ты это зря;0
привет жене;0
друг мой;0
ну если так;0
я же;0
а там;0
прямо сейчас;0
ну всякое там;0
понимаешь;0
что там происходит;0
я же тогда с твоей катериной того;0
с удовольствием;0
псих;0
вообще-то, конечно;0
типа;0
хамство;0
буду бороться с чем-то;0
ну и бог с ним;0
быстро всех перещелкать;0
и идем;0
у нее сто дорог;0
вот и все прощайте;0
хо-хо;0
ну и чего ты добиваешься;0
прошу слова;0
я прямо довольна;0
что там с вами стряслось;0
слушай, я по поводу зарплаты;0
а у них там эти, шагающие есть;0
разрешите;0
ты ж;0
вы… невозможный фантазер;0
догадываюсь;0
ну, конечно;0
просто удивительно;0
с вами я во всем согласен;0
но вы совершенно убеждены;0
сейчас вот;0
надо бы окопаться;0
кошмар;0
сейчас приду;0
как вы сюда попали;0
как, известно;0
ну я подумал;0
прямо сколько влезет;0
а ты уверен;0
садитесь;0
а во вторых;0
м-да;0
здравствуйте, здравствуйте;0
точилка;0
ну вот;0
лишь бы не трогал тебя никто;0
прошу извинения;0
мне кажется все же;0
разве ты не заметил;0
а потом;0
ну, хочешь;0
ты это понимаешь;0
в норме;0
это;0
ну почему;0
как – что;0
единственные штаны на жопе;0
да тут;0
не в моем вкусе;0
то есть как… совсем;0
я серьезно;0
да ну тебя с твоим;0
снизу такие;0
ну сколько можно уже;0
перестань;0
ништяк;0
только одно помни;0
не сопротивляйся;0
ты бредишь;0
может, клюнет;0
и знаете, что;0
травишь их травишь;0
за август нет;0
счастливо оставаться;0
да, вы правы;0
помните;0
а этот;0
совсем никуда;0
эхма;0
ты не станешь думать;0
то за жизнь;0
а мы с твоей этой… того;0
как прекрасно;0
надеюсь все же;0
я же этот;0
ну понимаете;0
как тебе не надоест;0
просто-напросто;0
я правильно понимаю;0
я тоже;0
что ты говоришь;0
вы где пропадали;0
что, в конце концов, случилось;0
это как бы уже;0
и мне теперь, понимаешь;0
наоборот;0
зачем ты пришла;0
у них вон;0
я вот так прямо не могу сказать;0
не очень рассчитывайте;0
разве нет;0
ведь;0
какие-то планы на будущее;0
умоляю вас;0
я собственно как;0
удивляюсь;0
отказываться;0
а ты один;0
может;0
и тут;0
прям;0
хрена себе;0
я тебе это говорил;0
ну, и короче;0
о, как я вас понимаю;0
да я что-то;0
почему;0
может, ты меня с кем путаешь;0
прямо туман в башке;0
валяй откровенно;0
только;0
да и ничего;0
я знаешь, чувствую, что я как бы;0
предлагал ведь;0
постойте;0
довольно мило с твоей стороны;0
не дашь;0
представляешь;0
ты отгородился;0
и за горами у них два бункера прячутся;0
что ты плетешь;0
ты знаешь;0
откуда, простите;0
какой-то ненормальный;0
так в чем дело-то;0
что ли;0
это я с ней сам разберусь;0
вам не надо спешить;0
час от часу не легче;0
бля;0
с меня, кажется, хватит;0
тоже;0
а тут прямо;0
ну думаю;0
с утра;0
пьяные же были;0
умоляю тебя;0
братцы;0
я потом, напомни;0
вот такой;0
во всяком случае;0
ну как;0
вы ж тогда;0
знай;0
ну там;0
я слышала;0
ну не выделывайся;0
посмотрите на меня;0
да знаете ли вы;0
как приятно;0
ты полагаешь;0
не закладываю;0
ну, хорошо, давай я сам;0
я же так обижусь;0
что тогда;0
нет, что вы;0
и это все;0
они вообще;0
из огня да в полымя;0
кто вы такой;0
то есть;0
ты же инженер электрический;0
и знаешь;0
была не была;0
у меня уже баллистические достроились;0
ты чего опять;0
за его здоровье;0
да я никакой;0
но разве тебе не кажется;0
клянусь;0
прямо такая;0
идем;0
это неправильно;0
обойдусь;0
как ты посмел;0
так и;0
загнать;0
полегче;0
это никого не касается;0
почему же;0
живешь сам по себе;0
пожалуйста, прошу вас;0
пожалуй;0
я вас приветствую;0
вернее;0
мне некогда;0
потому… потому… потому;0
как-то дороговато;0
ну, извини, я что-то;0
что делать;0
вот бросил;0
лучше объясни;0
дальше;0
может мне;0
лучше бы ты не;0
положим;0
так, так, так;0
будь хотя бы минимально благоразумен;0
это еще кому бы;0
можно;0
ну посуди сам;0
гляди;0
смешно;0
эй, есть кто дома;0
говорите;0
и капец;0
блин;0
отлепляемся и домой;0
добрый вечер, господа;0
пошел отсюда;0
иди, давай;0
куришь как паровоз;0
я не то, что прямо;0
как с ней быть;0
это, несомненно, прекрасно;0
не надо истерик;0
мне все равно;0
это понятно;0
а ну теперь-то всё;0
раз за разом;0
вам этого еще не понять;0
вот – полюбуйся;0
понасажали там;0
значит;0
все у нас в порядке да;0
всего;0
что-то такое;0
на здоровье;0
кто он такой, в конце концов;0
ты думаешь;0
сама как;0
что называется;0
я бы не сказал;0
знаю;0
доля истины;0
все уладится;0
великолепно;0
брррр;0
так может;0
вы знаете;0
а вот и ошибаешься;0
несомненно;0
о, разумеется;0
даже лучше;0
а вы не скучайте тут, пожалуйста;0
все на самотек;0
явился;0
ты что, с ума сошел;0
скоро уже все;0
понимаешь, говоришь;0
хули;0
ладно, вот за это и выпьем;0
им же на людей насрать;0
ты и представить себе не можешь;0
главное;0
экономьте нервы;0
книга будет что надо;0
ха;0
ну и зачем;0
какие;0
можешь;0
говно куриное;0
там же;0
что с них возьмешь;0
налетайте, братцы;0
а если бы тебя там;0
ты со мной;0
молчи, идиот;0
вообще;0
прямо скажем;0
все, не могу больше, не могу;0
как в прорву, все уходит;0
кого;0
только объясните нам скорей;0
чего только нет;0
между прочим;0
безобразие какое;0
с чего ты решил вообще, что;0
ну, мы;0
ты ведь действительно;0
отвратительно;0
а вы что тут молчите;0
очевидно;0
этой;0
вы как думаете;0
ну хорошо, пока;0
как воды в рот набрала;0
не надо меня перебивать;0
сука;0
прошу тебя;0
ну ты себя видел;0
я не хочу, и не буду обсуждать с тобой это;0
я вас понимаю;0
теперь ты вообще все что угодно можешь делать;0
да, конечно;0
неужели не понял;0
можно подумать;0
сейчас, сейчас;0
хрена лысого;0
ну-ка;0
да вот;0
давай, давай;0
очень;0
вы правы;0
да так;0
уже;0
через силу;0
вот почему;0
пора;0
так что же вы;0
вот этот;0
так вот почему;0
немедленно;0
да вы;0
вот просто;0
это почему же;0
ай-яй-яй;0
знаете;0
всякое бывает;0
хотя сказать правду;0
нет, ты дослушай;0
позвольте с этим не согласиться;0
блохин, замолчи;0
как это – нет;0
признаться;0
вы меня понимаете;0
представляете;0
хоть бы сделал что-нибудь хоть раз;0
при чем здесь он;0
проходите;0
без соли;0
хорош;0
я тут;0
давайте лучше не будем;0
ну просто;0
ну и что-то;0
не понимаю;0
тебе что;0
дук,дук,дук;0
тошнит;0
так получается;0
в общем;0
вот это бомба;0
а за что;0
он прелесть;0
блохин, не возражай;0
должен тебе сознаться;0
а ну прекрати;0
совсем вы тут сдурели;0
что ты;0
вот прямо на днях;0
счастливо повеселиться;0
а ведь вот;0
так сказать;0
и - что;0
то есть, если;0
я прошу тебя;0
почему нельзя;0
а то живем как-то;0
ну, что ж, спасибо;0
потупить;0
ну и;0
какая непосредственность;0
вы разрешите;0
сколько ни дискутируй;0
я совершенно на это не рассчитывал;0
я призываю тебя;0
они же;0
ты великолепно знаешь;0
а зовут-то вас как;0
документы;0
есть что сказать;0
так и собиралась;0
ну почему любой;0
только и всего, федя;0
вот мы когда на рождество семьями, помнишь;0
посмотрим-ка, что из этого выйдет;0
но кого же;0
а я причем;0
судя по всему;0
вот такая у нас любовь;0
черт вас возьми;0
вот я и спрашиваю;0
простите, у меня нет времени;0
вот так;0
а, и ты здесь;0
что это ты себе выдумал;0
мне кажется;0
ни в коем случае;0
вот просто всё;0
куда;0
будьте всегда здоровы;0
но как ты очутился здесь;0
просто не представляю;0
тут у нас вообще;0
скажем так;0
тебе виднее;0
а толк-то какой;0
ну я не знаю;0
а вы как;0
и знаешь почему;0
нет, вы только поглядите;0
клянусь тебе;0
не видишь;0
не могу;0
здравствуйте, молодой человек, здравствуйте;0
ну как, не скучали вы без нас;0
плохо, константин, плохо;0
ну говорю тебе;0
ну, ничего;0
в зюзю;0
может, не будем об этом;0
уже на «ты»;0
а тут прямо не знаю;0
ты опять;0
вот что обидно;0
кто знает;0
почему тебя держу у себя;0
ну то есть, сентябрь уже;0
да это просто;0
ну-ну, не морочь мне голову;0
иной раз;0
понятно тебе;0
во везет;0
да и;0
это превосходно;0
тоже оригинально;0
ты живой;0
как там;0
я все объясню сам;0
ничего не понимаю;0
вы скажите;0
полюбуйся, пожалуйста;0
верно, чего это я;0
помолчи;0
как себя чувствуешь;0
а надо же так;0
ах, так;0
ты же знаешь;0
того, говорю;0
оказывается;0
собственно говоря;0
точнее;0
честно;0
ну, тебя не очень;0
его что;0
видела какие;0
ко всем чертям;0
какая честь;0
где мне;0
ну а когда;0
я не думаю;0
пришло время открыть все;0
любой факс и сам справится;0
ты ведь знаешь;0
ну это пустяки;0
до чего бездарно;0
вот чудак;0
послушайте, вы;0
ну, более или менее;0
какая… мм… откровенность;0
сейчас же замолчи;0
что ж, неплохо сказано;0
надо полагать;0
признавайся;0
ну откуда;0
поймите;0
спасибо, не надо;0
вам не кажется;0
так лучше;0
а тогда прямо вот;0
правда;0
вроде;0
попадешься и что;0
скорее нет;0
сколько она там будет;0
впрочем;0
нет, не знаю;0
ну у тебя совесть есть;0
ни за что;0
браво;0
ну и что же;0
и вообще;0
и это;0
куда же вы;0
весьма рад;0
дай бог памяти;0
ну а кого;0
в некотором роде;0
ты даже представить себе не можешь;0
что ты делаешь;0
но что такое счастье;0
прощается;0
просто так;0
а теперь не жалеете;0
стыдись;0
что ты наделал;0
и как это сразу не пришло нам в голову;0
да ну и что, что;0
что тебе понятно;0
это что-то новое;0
отдай назад;0
никто ничего не знает;0
ты дослушай;0
как-нибудь обойдусь;0
с вами не пропадешь;0
в ноль;0
а вот увидите;0
как вы думаете;0
вот, вот;0
ты молодец;0
хочешь;0
я этого просто не вынесу;0
нормально;0
знаешь сам;0
бедная женщина;0
то есть, что я имею в виду;0
прошу меня извинить;0
да, да, конечно;0
каково;0
а кто вы такой;0
а если уж совсем откровенно;0
нахожу;0
аж;0
странно;0
очень приятно;0
однако;0
тем более;0
при чем тут это;0
черта с два;0
ты меня разыгрываешь;0
немедленно замолчи;0
дай думаю, зайду;0
будь я на его месте;0
а вот тем не менее и мы;0
ну ты типа странный такой;0
это большая честь для меня;0
понял;0
какая-то}, {{в общем;0
как раз;0
безобразие;0
должен сказать;0
меня это;0
так что там дальше было то;0
а я вроде как;0
это ужасно;0
это невозможно;0
нет-нет, не думаю;0
тоже легче будет;0
что у меня;0
ну, смешно ведь;0
даже;0
тебе все равно;0
чем черт не шутит;0
может, ты прав;0
боже, за кого я собираюсь замуж;0
